,Unnamed: 0,Date,Acute care COVID patients,ICU COVID patients
0,0,2020-03-23,113,35
1,1,2020-03-24,116,30
2,2,2020-03-25,84,30
3,3,2020-03-26,86,35
4,4,2020-03-27,97,34
5,5,2020-03-28,96,36
6,6,2020-03-29,95,40
7,7,2020-03-30,46,16
8,8,2020-03-31,71,28
9,9,2020-04-01,112,50
10,10,2020-04-02,86,44
11,11,2020-04-03,62,41
12,12,2020-04-04,72,52
13,13,2020-04-05,159,45
14,14,2020-04-06,166,46
15,15,2020-04-07,102,45
16,16,2020-04-08,96,47
17,17,2020-04-09,82,44
18,18,2020-04-10,80,42
19,19,2020-04-11,91,38
20,20,2020-04-12,92,40
21,21,2020-04-13,98,33
22,22,2020-04-14,142,32
23,23,2020-04-15,90,37
24,24,2020-04-16,82,37
25,25,2020-04-17,69,35
26,26,2020-04-18,78,36
27,27,2020-04-19,82,34
28,28,2020-04-20,97,30
29,29,2020-04-21,77,31
30,30,2020-04-22,71,39
31,31,2020-04-23,67,35
32,32,2020-04-24,67,33
33,33,2020-04-25,92,35
34,34,2020-04-26,139,31
35,35,2020-04-27,91,37
36,36,2020-04-28,77,35
37,37,2020-04-29,79,33
38,38,2020-04-30,77,33
39,39,2020-05-01,81,35
40,40,2020-05-02,77,33
41,41,2020-05-03,75,28
42,42,2020-05-04,70,27
43,43,2020-05-05,81,35
44,44,2020-05-06,173,31
45,45,2020-05-07,91,31
46,46,2020-05-08,67,33
47,47,2020-05-09,69,31
48,48,2020-05-10,65,33
49,49,2020-05-11,107,30
50,50,2020-05-12,60,31
51,51,2020-05-13,67,29
52,52,2020-05-14,68,29
53,53,2020-05-15,58,25
54,54,2020-05-16,60,24
55,55,2020-05-17,73,28
56,56,2020-05-18,67,22
57,57,2020-05-19,57,28
58,58,2020-05-20,68,31
59,59,2020-05-21,58,31
60,60,2020-05-22,68,26
61,61,2020-05-23,71,31
62,62,2020-05-24,62,27
63,63,2020-05-25,62,35
64,64,2020-05-26,66,38
65,65,2020-05-27,62,29
66,66,2020-05-28,46,27
67,67,2020-05-29,49,24
68,68,2020-05-30,41,27
69,69,2020-05-31,54,23
70,70,2020-06-01,42,25
71,71,2020-06-02,48,24
72,72,2020-06-03,49,21
73,73,2020-06-04,50,22
74,74,2020-06-05,37,19
75,75,2020-06-06,35,15
76,76,2020-06-07,35,14
77,77,2020-06-08,36,15
78,78,2020-06-09,36,13
79,79,2020-06-10,38,14
80,80,2020-06-11,38,16
81,81,2020-06-12,33,13
82,82,2020-06-13,35,14
83,83,2020-06-14,36,7
84,84,2020-06-15,34,7
85,85,2020-06-16,33,10
86,86,2020-06-17,35,9
87,87,2020-06-18,24,11
88,88,2020-06-19,32,11
89,89,2020-06-20,28,7
90,90,2020-06-21,28,9
91,91,2020-06-22,26,10
92,92,2020-06-23,26,12
93,93,2020-06-24,24,13
94,94,2020-06-25,34,16
95,95,2020-06-26,31,16
96,96,2020-06-27,37,17
97,97,2020-06-28,45,17
98,98,2020-06-29,38,22
99,99,2020-06-30,44,21
100,100,2020-07-01,43,17
101,101,2020-07-02,48,15
102,102,2020-07-03,52,17
103,103,2020-07-04,48,16
104,104,2020-07-05,50,18
105,105,2020-07-06,58,13
106,106,2020-07-07,58,18
107,107,2020-07-08,54,19
108,108,2020-07-09,64,20
109,109,2020-07-10,59,24
110,110,2020-07-11,57,26
111,111,2020-07-12,69,24
112,112,2020-07-13,70,19
113,113,2020-07-14,76,23
114,114,2020-07-15,75,21
115,115,2020-07-16,80,21
116,116,2020-07-17,74,29
117,117,2020-07-18,70,30
118,118,2020-07-19,80,26
119,119,2020-07-20,83,25
120,120,2020-07-21,87,30
121,121,2020-07-22,95,30
122,122,2020-07-23,84,29
123,123,2020-07-24,89,33
124,124,2020-07-25,86,33
125,125,2020-07-26,89,34
126,126,2020-07-27,89,38
127,127,2020-07-28,87,39
128,128,2020-07-29,88,40
129,129,2020-07-30,87,39
130,130,2020-07-31,79,36
131,131,2020-08-01,76,36
132,132,2020-08-02,76,35
133,133,2020-08-03,74,33
134,134,2020-08-04,68,31
135,135,2020-08-05,64,30
136,136,2020-08-06,62,29
137,137,2020-08-07,62,29
138,138,2020-08-08,68,32
139,139,2020-08-09,67,31
140,140,2020-08-10,75,36
141,141,2020-08-11,83,34
142,142,2020-08-12,83,33
143,143,2020-08-13,77,33
144,144,2020-08-14,67,41
145,145,2020-08-15,71,33
146,146,2020-08-16,72,37
147,147,2020-08-17,88,39
148,148,2020-08-18,89,39
149,149,2020-08-19,85,38
150,150,2020-08-20,81,34
151,151,2020-08-21,73,33
152,152,2020-08-22,66,36
153,153,2020-08-23,77,37
154,154,2020-08-24,69,33
155,155,2020-08-25,54,38
156,156,2020-08-26,53,33
157,157,2020-08-27,60,27
158,158,2020-08-28,55,26
159,159,2020-08-29,48,28
160,160,2020-08-30,55,26
161,161,2020-08-31,63,24
162,162,2020-09-01,55,21
163,163,2020-09-02,48,21
164,164,2020-09-03,43,22
165,165,2020-09-04,36,21
166,166,2020-09-05,49,25
167,167,2020-09-06,52,26
168,168,2020-09-07,54,26
169,169,2020-09-08,55,25
170,170,2020-09-09,60,23
171,171,2020-09-10,65,21
172,172,2020-09-11,60,21
173,173,2020-09-12,66,21
174,174,2020-09-13,62,22
175,175,2020-09-14,54,22
176,176,2020-09-15,48,23
177,177,2020-09-16,56,26
178,178,2020-09-17,52,21
179,179,2020-09-18,46,18
180,180,2020-09-19,49,21
181,181,2020-09-20,52,17
182,182,2020-09-21,57,21
183,183,2020-09-22,50,22
184,184,2020-09-23,48,20
185,185,2020-09-24,46,24
186,186,2020-09-25,43,20
187,187,2020-09-26,39,18
188,188,2020-09-27,45,17
189,189,2020-09-28,51,17
190,190,2020-09-29,55,17
191,191,2020-09-30,51,14
192,192,2020-10-01,45,18
193,193,2020-10-02,36,17
194,194,2020-10-03,41,16
195,195,2020-10-04,40,15
196,196,2020-10-05,35,15
197,197,2020-10-06,35,17
198,198,2020-10-07,23,18
199,199,2020-10-08,25,16
200,200,2020-10-09,25,13
201,201,2020-10-10,20,12
202,202,2020-10-11,22,14
203,203,2020-10-12,23,10
204,204,2020-10-13,26,9
205,205,2020-10-14,21,9
206,206,2020-10-15,19,6
207,207,2020-10-16,18,9
208,208,2020-10-17,19,10
209,209,2020-10-18,20,10
210,210,2020-10-19,19,7
211,211,2020-10-20,23,11
212,212,2020-10-21,17,10
213,213,2020-10-22,18,10
214,214,2020-10-23,21,7
215,215,2020-10-24,24,7
216,216,2020-10-25,28,6
217,217,2020-10-26,26,6
218,218,2020-10-27,29,7
219,219,2020-10-28,31,9
220,220,2020-10-29,32,7
221,221,2020-10-30,30,6
222,222,2020-10-31,27,11
223,223,2020-11-01,24,12
224,224,2020-11-02,26,12
225,225,2020-11-03,23,13
226,226,2020-11-04,25,11
227,227,2020-11-05,29,12
228,228,2020-11-06,33,10
229,229,2020-11-07,31,11
230,230,2020-11-08,27,12
231,231,2020-11-09,30,9
232,232,2020-11-10,35,9
233,233,2020-11-11,34,11
234,234,2020-11-12,34,9
235,235,2020-11-13,29,11
236,236,2020-11-14,31,10
237,237,2020-11-15,35,10
238,238,2020-11-16,36,14
239,239,2020-11-17,39,12
