,Total Cases,Total Deaths,Population,COVID per 1000
Alamance County,3749,54,169509,22.116819755883167
Alexander County,488,5,37497,13.014374483291997
Alleghany County,220,0,11137,19.753973242345335
Anson County,553,4,24446,22.621287736234965
Ashe County,251,1,27203,9.226923501084439
Avery County,325,0,17557,18.511135159765335
Beaufort County,855,17,46994,18.193811975996937
Bertie County,553,7,18947,29.186678629862246
Bladen County,821,12,32722,25.090153413605524
Brunswick County,1535,26,142820,10.747794426550904
Buncombe County,2874,79,261191,11.003441925640622
Burke County,2031,35,90485,22.445709233574625
Cabarrus County,3770,61,216453,17.417176015116446
Caldwell County,1571,18,82178,19.11703862347587
Camden County,109,3,10867,10.03036716665133
Carteret County,615,5,69473,8.85235990960517
Caswell County,318,3,22604,14.068306494425766
Catawba County,2987,51,159551,18.72128661055086
Chatham County,1604,57,74470,21.538874714650195
Cherokee County,579,10,28612,20.236264504403746
Chowan County,313,3,13943,22.44854048626551
Clay County,112,2,11231,9.972397827441903
Cleveland County,2040,60,97947,20.827590431559926
Columbus County,1312,54,55508,23.63623261511854
Craven County,1287,30,102139,12.600475822163913
Cumberland County,5089,75,335509,15.16799847396046
Currituck County,166,1,27763,5.979180924251702
Dare County,264,2,37009,7.1333999837877275
Davidson County,2613,34,167609,15.589854960055844
Davie County,533,6,42846,12.439901040937311
Duplin County,2140,53,58741,36.43111285133042
Durham County,7523,90,321488,23.400562384910167
Edgecombe County,1279,37,51472,24.848461299347218
Forsyth County,6833,94,382295,17.87363161956081
Franklin County,1189,32,69685,17.062495515534188
Gaston County,4861,75,224529,21.649764618378917
Gates County,127,3,11562,10.984258778758
Graham County,122,1,8441,14.453263831299608
Granville County,1689,48,60443,27.94368247770627
Greene County,505,5,21069,23.96886420807822
Guilford County,8157,176,537174,15.185023847021636
Halifax County,964,18,50010,19.27614477104579
Harnett County,2064,51,135976,15.179149261634405
Haywood County,580,31,62317,9.307251632780781
Henderson County,1906,64,117417,16.232743129189128
Hertford County,693,26,23677,29.26891075727499
Hoke County,1068,16,55234,19.3359162834486
Hyde County,124,4,4937,25.116467490378774
Iredell County,2683,27,181806,14.757488751746367
Jackson County,532,7,43938,12.107970321817106
Johnston County,4254,55,209339,20.32110595732281
Jones County,144,11,9419,15.288247159995754
Lee County,1572,13,61779,25.445539746515806
Lenoir County,939,27,55949,16.783141789844322
Lincoln County,1473,14,86111,17.10582852364971
Macon County,583,2,35858,16.25857549221931
Madison County,90,1,21755,4.136980004596644
Martin County,420,10,22440,18.71657754010695
McDowell County,883,26,45756,19.29801556080077
Mecklenburg County,27586,341,1110356,24.844284175525686
Mitchell County,105,3,14964,7.016840417000802
Montgomery County,1026,25,27173,37.75806867110735
Moore County,1535,27,100880,15.216098334655035
Nash County,2177,36,94298,23.086385713376743
New Hanover County,3914,29,234473,16.69275353665454
Northampton County,407,17,19483,20.890006672483704
Onslow County,1859,23,197938,9.39182976487587
Orange County,2594,54,148476,17.47083703763571
Pamlico County,233,2,12726,18.30897375451831
Pasquotank County,677,29,39824,16.99979911611089
Pender County,904,5,63060,14.335553441167143
Perquimans County,177,3,13463,13.147144024363069
Person County,410,6,39490,10.382375284882249
Pitt County,4572,27,180742,25.295725398634517
Polk County,258,8,20724,12.449334105385061
Randolph County,2672,51,143667,18.59856473650873
Richmond County,911,13,44829,20.32166677820161
Robeson County,4252,72,130625,32.5511961722488
Rockingham County,1158,13,91010,12.723876497088233
Rowan County,3194,87,142088,22.479027081808457
Rutherford County,1119,22,67029,16.6942666606991
Sampson County,1766,24,63531,27.797453211817853
Scotland County,962,12,34823,27.62541998104701
Stanly County,1814,56,62806,28.882590835270516
Stokes County,407,3,45591,8.927200543967011
Surry County,1275,21,71783,17.761865622779766
Swain County,139,3,14271,9.740032233200196
Transylvania County,303,7,34385,8.81198196888178
Tyrrell County,112,2,4016,27.888446215139442
Union County,4581,58,239859,19.098720498292746
Vance County,1018,43,44535,22.858425957112384
Wake County,16943,228,1111761,15.239786249022947
Warren County,316,7,19731,16.01540722720592
Washington County,200,8,11580,17.271157167530223
Watauga County,595,1,56177,10.59152322124713
Wayne County,3165,64,123131,25.704331159496796
Wilkes County,1160,32,68412,16.956089574928374
Wilson County,2094,46,81801,25.598709062236402
Yadkin County,711,7,37667,18.875939150980965
Yancey County,120,0,18069,6.641208699983397
